uid,name,airline,text,tweet_created,tweet_city,tweet_state,Chosen
681448153,jnardino,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.,2/24/2015 11:15,Worcester, MA ,Not chosen
681448158,jnardino,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2/24/2015 11:15,Worcester, MA ,Not chosen
681448165,cjmcginnis,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this ‰ÛÏear worm‰Û won‰Ûªt go away :)",2/24/2015 11:13,San Diego, CA,Not chosen
681448167,pilot,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2/24/2015 11:12,Los Angeles, CA,Not chosen
681448169,dhepburn,Virgin America,"@virginamerica Well, I didn't‰Û_but NOW I DO! :-D",2/24/2015 11:11,San Diego, CA,Not chosen
681448171,YupitsTate,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2/24/2015 10:53,Los Angeles, CA,Not chosen
681448176,HyperCamiLax,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,2/24/2015 10:30,New York, NY ,Not chosen
681448181,mollanderson,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2/24/2015 10:21,Worcester, MA ,Not chosen
681448182,sjespers,Virgin America,@VirginAmerica Thanks!,2/24/2015 10:15,San Francisco, CA,Not chosen
681448184,smartwatermelon,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.,2/24/2015 10:01,Orlando, FL ,Not chosen
681448186,ItzBrianHunty,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2/24/2015 9:42,Washington, D.C. ,Not chosen
681448190,thebrandiray,Virgin America,I ‰_•ü flying @VirginAmerica. ‰÷¼•ü_ÙÔ,2/24/2015 9:15,Seattle, WA,Not chosen
681448192,JNLpierce,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2/24/2015 9:04,Boston, MA,Not chosen
681448194,MISSGJ,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2/24/2015 8:55,Worcester, MA ,Not chosen
681448197,DT_Les,Virgin America,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2/24/2015 8:49,Worcester, MA ,Not chosen
681448199,ElvinaBeck,Virgin America,@VirginAmerica I love the hipster innovation. You are a feel good brand.,2/24/2015 8:30,Los Angeles, CA,Not chosen
681448208,meredithjlynn,Virgin America,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2/24/2015 7:11,Worcester, MA ,Not chosen
681448211,AdamSinger,Virgin America,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,2/24/2015 5:44,San Francisco, CA,Not chosen
681448214,TenantsUpstairs,Virgin America,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2/23/2015 23:34,Brooklyn, NY,Not chosen
681448221,JCervantezzz,Virgin America,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,2/23/2015 21:35,Carlsbad, CA,Not chosen
681448223,Cuschoolie1,Virgin America,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2/23/2015 21:10,Washington, D.C.,Not chosen
681448228,NorthTxHomeTeam,Virgin America,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2/23/2015 20:24,Tempe, AZ,Not chosen
681448230,miaerolinea,Virgin America,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,2/23/2015 18:46,Worcester, MA ,Not chosen
681448243,DannyDouglass,Virgin America,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2/23/2015 17:41,San Francisco, CA,Not chosen
681448247,will_lenzenjr,Virgin America,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2/23/2015 17:00,Iowa City, IA,Not chosen
681448251,KGervaise,Virgin America,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,2/23/2015 16:20,Fullerton, CA,Not chosen
681448256,arieldaie,Virgin America,@VirginAmerica I'm #elevategold for a good reason: you rock!!,2/23/2015 16:08,Los Angeles, CA,Not chosen
681448258,vacations7,Virgin America,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,2/23/2015 16:04,Tucson, AZ,Not chosen
681448264,lisaaiko,Virgin America,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,2/23/2015 15:58,Worcester, MA ,Not chosen
681448267,joyabsalon,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2/23/2015 15:46,New York, NY ,Not chosen
681448269,2v,Virgin America,@VirginAmerica wish you flew out of Atlanta... Soon?,2/23/2015 15:36,Los Angeles, CA,Not chosen
681448271,KSmithFoundHere,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,2/23/2015 15:24,Worcester, MA ,Not chosen
681448273,papamurat,Virgin America,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,2/23/2015 15:19,Worcester, MA ,Not chosen
681448282,giffgaffman,Virgin America,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,2/23/2015 14:40,Tucson, AZ,Not chosen
681448288,emilybg78,Virgin America,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2/23/2015 14:36,Stamford, CT,Not chosen
681448290,rachie1126,Virgin America,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,2/23/2015 14:35,New York, NY,Not chosen
681448292,adawson66,Virgin America,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _Ù÷_ÙÔÎ",2/23/2015 14:30,Worcester, MA ,Not chosen
681448297,jeffreymace01,Virgin America,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,2/23/2015 14:25,Worcester, MA ,Not chosen
681448299,1stcrown,Virgin America,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2/23/2015 14:09,Tucson, AZ,Not chosen
681448302,onerockgypsy,Virgin America,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2/23/2015 13:46,New York, NY ,Not chosen
681448303,noelduan,Virgin America,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2/23/2015 13:35,Seattle, WA,Not chosen
681448308,gianagon,Virgin America,@VirginAmerica everything was fine until you lost my bag,2/23/2015 13:08,New York, NY,Not chosen
681448310,bxchen,Virgin America,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2/23/2015 12:47,San Francisco, CA,Not chosen
681448314,jamied7,Virgin America,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",2/23/2015 11:56,Logan,UT,Not chosen
681448317,seimatrun,Virgin America,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,2/23/2015 11:46,Los Angeles, CA,Not chosen
681448319,mrmichaellay,Virgin America,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2/23/2015 11:32,Evanston, IL,Not chosen
681448322,TaylorLumsden,Virgin America,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,2/23/2015 11:22,Dallas, TX,Not chosen
681448324,meme_meng,Virgin America,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,2/23/2015 11:02,Worcester, MA ,Not chosen
681448326,kyle_romanoff,Virgin America,@VirginAmerica what happened to Doom?!,2/23/2015 10:58,Worcester, MA ,Not chosen
681448331,artisticwritr87,Virgin America,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,2/23/2015 10:56,Seattle, WA,Not chosen
681448334,arieldaie,Virgin America,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,2/23/2015 10:54,Los Angeles, CA,Not chosen
681448336,GunsNDip,Virgin America,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,2/23/2015 10:54,Worcester, MA ,Not chosen
